[2024-01-10 22:41:53,664] INFO     | main     | PyOSU by FlamesCoder
[2024-01-10 22:42:01,063] INFO     | level    | 
[2024-01-10 22:42:01,063] INFO     | level    | Play level Classroom_of_the_elite_Hito_Jibai
[2024-01-10 22:42:01,349] INFO     | level    | Data loaded
[2024-01-10 22:42:01,351] INFO     | level    | Starting level
[2024-01-10 22:42:01,351] INFO     | level    | Total notes: 598
[2024-01-10 22:42:10,594] INFO     | level    | Hit! 2 Note Type: 5
[2024-01-10 22:42:10,798] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:11,149] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:12,339] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:12,677] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-10 22:42:13,063] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:13,492] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:13,638] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-10 22:42:14,127] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:14,446] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:14,646] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-10 22:42:15,703] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:16,334] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:16,637] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:17,005] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:17,420] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:18,090] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:18,273] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:18,357] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:18,685] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-10 22:42:19,185] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:19,656] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-10 22:42:20,407] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:20,709] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-10 22:42:21,062] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:21,730] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-10 22:42:22,098] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:22,413] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:22,697] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-10 22:42:23,671] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:24,019] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:24,405] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:24,671] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:25,055] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:25,421] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:26,091] INFO     | level    | Hit! 1 Note Type: 5
[2024-01-10 22:42:26,324] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:26,341] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:26,759] INFO     | level    | Hit! 0 Note Type: 5
[2024-01-10 22:42:27,112] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:27,669] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:27,953] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:27,969] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:28,438] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:28,707] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:29,208] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-10 22:42:29,739] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:29,987] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:29,987] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:30,086] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-10 22:42:30,657] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:31,171] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-10 22:42:31,422] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-10 22:42:31,641] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:31,843] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:32,030] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:32,094] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:32,647] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:32,963] INFO     | level    | Hit! 1 Note Type: 5
[2024-01-10 22:42:33,197] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:33,449] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:33,702] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:33,953] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:34,187] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:34,490] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:34,725] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-10 22:42:35,343] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:35,643] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:35,891] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-10 22:42:36,094] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:36,094] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:36,676] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:37,091] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-10 22:42:37,341] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:37,640] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-10 22:42:37,860] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:37,991] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:38,089] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:38,454] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-10 22:42:38,637] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:38,970] INFO     | level    | Hit! 4 Note Type: 5
[2024-01-10 22:42:39,137] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:39,339] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:39,691] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:39,975] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:40,076] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:40,647] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-10 22:42:40,898] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-10 22:42:41,011] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:41,226] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-10 22:42:41,408] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:41,657] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:41,875] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-10 22:42:42,161] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-10 22:42:42,608] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-10 22:42:42,976] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:43,160] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:43,464] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-10 22:42:43,648] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-10 22:42:43,951] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-10 22:42:44,568] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:44,952] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-10 22:42:45,134] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-10 22:42:45,599] INFO     | level    | Hit! 0 Note Type: 6
[2024-01-10 22:42:45,967] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-10 22:42:46,120] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-10 22:42:46,587] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-10 22:42:47,103] INFO     | level    | Hit! 4 Note Type: 2
