[2024-01-12 14:06:25,302] INFO     | level    | 
[2024-01-12 14:06:25,302] INFO     | level    | Play level Shibayan - Shock!! (SSH Arrangement)
[2024-01-12 14:06:25,508] INFO     | level    | Data loaded
[2024-01-12 14:06:25,510] INFO     | level    | Starting level
[2024-01-12 14:06:25,510] INFO     | level    | Total notes: 745
[2024-01-12 14:06:26,018] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:26,252] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:27,664] INFO     | level    | Hit! 4 Note Type: 5
[2024-01-12 14:06:28,127] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:06:29,531] INFO     | level    | Hit! 4 Note Type: 5
[2024-01-12 14:06:31,358] INFO     | level    | Hit! 4 Note Type: 5
[2024-01-12 14:06:31,786] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:06:32,715] INFO     | level    | Hit! 0 Note Type: 5
[2024-01-12 14:06:32,847] INFO     | level    | Hit! 3 Note Type: 1
[2024-01-12 14:06:32,995] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:33,146] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:06:33,243] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:33,442] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:06:33,524] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:06:33,639] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:06:34,158] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:34,484] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:34,813] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:06:35,022] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:35,325] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:35,557] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-12 14:06:35,851] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:36,018] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:36,326] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:36,637] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:36,906] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:37,157] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:37,386] INFO     | level    | Hit! 1 Note Type: 6
[2024-01-12 14:06:37,650] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:06:37,880] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:38,160] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:38,535] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:38,733] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:38,947] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:39,173] INFO     | level    | Hit! 3 Note Type: 6
[2024-01-12 14:06:39,441] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:39,708] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:39,987] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:40,330] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:40,607] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:40,807] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:40,990] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:06:41,089] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-12 14:06:41,252] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:41,890] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:42,199] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:42,448] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:42,697] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:42,897] INFO     | level    | Hit! 4 Note Type: 6
[2024-01-12 14:06:43,206] INFO     | level    | Hit! 4 Note Type: 1
[2024-01-12 14:06:43,679] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:44,024] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:44,274] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:44,524] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:44,771] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-12 14:06:44,984] INFO     | level    | Hit! 2 Note Type: 2
[2024-01-12 14:06:45,209] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:06:45,608] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:45,869] INFO     | level    | Hit! 0 Note Type: 2
[2024-01-12 14:06:46,103] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:46,335] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:06:46,596] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-12 14:06:46,876] INFO     | level    | Hit! 4 Note Type: 2
